id_venta,id_cliente,fecha,total,cliente,correo,ciudad,id_pago,metodo,monto_pagado
V9002,CL111,2024-01-25,1873.39,Tienda Central 11,cliente1111@gmail.com,La Libertad,PG8053,Efectivo,989.23
V9005,CL239,2024-09-10,3072.44,Almacenes Prado 139,cliente13965@outlook.com,San Salvador,PG8013,Transferencia,1105.1
V9006,CL235,2024-11-01,4716.52,Comercial Díaz 135,cliente13511@empresa.com,La Libertad,PG8049,Cheque,4171.58
V9007,CL102,2025-03-07,1218.65,Grupo Ideal 2,cliente211@empresa.com,San Miguel,PG8027,Transferencia,136.29
V9007,CL102,2025-03-07,1218.65,Grupo Ideal 2,cliente211@empresa.com,San Miguel,PG8062,Cheque,2231.34
V9007,CL102,2025-03-07,1218.65,Grupo Ideal 2,cliente211@empresa.com,San Miguel,PG8027,Transferencia,136.29
V9007,CL102,2025-03-07,1218.65,Grupo Ideal 2,cliente211@empresa.com,San Miguel,PG8062,Cheque,2231.34
V9008,CL243,2024-11-30,625.08,Tienda Central 143,cliente1434@gmail.com,San Salvador,PG8111,Efectivo,564.14
V9010,CL122,2024-08-28,4436.89,Almacenes Prado 22,cliente2292@outlook.com,San Miguel,PG8024,Pago móvil,174.16
V9011,CL191,2024-05-26,3236.14,Grupo Ideal 91,cliente9151@empresa.com,San Miguel,PG8025,Transferencia,1952.17
V9011,CL191,2024-05-26,3236.14,Grupo Ideal 91,cliente9151@empresa.com,San Miguel,PG8047,Pago móvil,2717.69
V9011,CL191,2024-05-26,3236.14,Grupo Ideal 91,cliente9151@empresa.com,San Miguel,PG8076,Cheque,1154.19
V9014,CL217,2025-03-09,4309.62,Mundo Hogar 117,cliente11779@gmail.com,San Salvador,PG8161,Cheque,4776.47
V9015,CL104,2024-02-25,4235.64,Soluciones CR 4,cliente441@gmail.com,La Libertad,PG8080,Pago móvil,2676.27
V9015,CL104,2024-02-25,4235.64,Soluciones CR 4,cliente441@gmail.com,La Libertad,PG8167,Cheque,3541.29
V9015,CL104,2024-02-25,4235.64,Soluciones CR 4,cliente441@gmail.com,La Libertad,PG8080,Pago móvil,2676.27
V9015,CL104,2024-02-25,4235.64,Soluciones CR 4,cliente441@gmail.com,La Libertad,PG8167,Cheque,3541.29
V9018,CL164,2024-05-15,3780.11,Servicios Alfa 64,cliente6478@outlook.com,Santa Ana,PG8073,Pago móvil,216.51
V9020,CL129,2024-07-06,4213.15,Almacenes Prado 29,cliente2950@correo.sv,San Salvador,PG8085,Transferencia,3975.17
V9020,CL129,2024-07-06,4213.15,Almacenes Prado 29,cliente2950@correo.sv,San Salvador,PG8136,Pago móvil,3390.57
V9020,CL129,2024-07-06,4213.15,Almacenes Prado 29,cliente2950@correo.sv,San Salvador,PG8192,Pago móvil,377.44
V9022,CL183,2024-07-25,3886.71, Comercial Díaz 83 ,cliente8347@correo.sv,San Miguel,PG8016,Pago móvil,3447.61
V9022,CL183,2024-07-25,3886.71, Comercial Díaz 83 ,cliente8347@correo.sv,San Miguel,PG8152,Pago móvil,406.69
V9024,CL131,2024-01-24,903.6,Servicios Alfa 31,cliente3148@empresa.com,Santa Ana,PG8097,Tarjeta,1032.05
V9024,CL131,2024-01-24,903.6,Servicios Alfa 31,cliente3148@empresa.com,Santa Ana,PG8101,Pago móvil,2471.78
V9024,CL131,2024-01-24,903.6,Servicios Alfa 31,cliente3148@empresa.com,Santa Ana,PG8229,Tarjeta,4551.52
V9026,CL137,2024-01-27,4923.66,Importadora del Valle 37,cliente3718@gmail.com,Santa Ana,PG8054,Pago móvil,307.08
V9027,CL241,2024-10-18,4688.19,Soluciones CR 141,cliente14122@empresa.com,San Miguel,PG8001,Transferencia,1742.47
V9029,CL213,2024-04-09,840.78,Importadora del Valle 113,cliente11318@outlook.com,Santa Ana,PG8225,Cheque,1580.47
V9031,CL204,2024-10-10,3635.38,Grupo Ideal 104,cliente10492@correo.sv,La Libertad,PG8074,Transferencia,2388.22
V9032,CL184,2024-05-27,4092.57,Almacenes Prado 84,cliente8473@gmail.com,San Salvador,PG8164,Tarjeta,402.77
V9033,CL101,2024-02-07,1083.29,Grupo Ideal 1,cliente131@correo.sv,San Salvador,PG8144,Pago móvil,3772.07
V9034,CL174,2024-07-16,2539.15,Tienda Central 74,cliente7479@correo.sv,La Libertad,PG8223,Transferencia,1366.56
V9037,CL105,2025-01-26,2720.34,Distribuciones Luna 5,cliente592@empresa.com,Santa Ana,PG8189,Transferencia,2257.76
V9038,CL249,2024-10-08,2959.93,Soluciones CR 149,cliente14983@empresa.com,San Salvador,PG8202,Efectivo,1371.62
V9039,CL242,2024-05-23,2551.64,Comercial Díaz 142,cliente14273@gmail.com,San Miguel,PG8057,Transferencia,4832.76
V9043,CL111,2024-11-08,4369.15,Tienda Central 11,cliente1111@gmail.com,La Libertad,PG8009,Transferencia,1569.86
V9045,CL141,2024-03-06,3810.39,Comercial Díaz 41,cliente4190@correo.sv,San Salvador,PG8078,Cheque,4549.08
V9045,CL141,2024-03-06,3810.39,Comercial Díaz 41,cliente4190@correo.sv,San Salvador,PG8197,Efectivo,4023.71
V9045,CL141,2024-03-06,3810.39,Comercial Díaz 41,cliente4190@correo.sv,San Salvador,PG8217,Efectivo,39.02
V9046,CL181,2024-02-19,817.16,Comercial Díaz 81,cliente819outlook.com,Santa Ana,PG8037,Pago móvil,4137.0
V9046,CL181,2024-02-19,817.16,Comercial Díaz 81,cliente819outlook.com,Santa Ana,PG8173,Transferencia,1419.4
V9046,CL181,2024-02-19,817.16,Comercial Díaz 81,cliente819outlook.com,Santa Ana,PG8188,Cheque,2525.36
V9050,CL179,2024-06-22,3637.78,Servicios Alfa 79,cliente7978@correo.sv,Santa Ana,PG8023,Transferencia,214.2
V9050,CL179,2024-06-22,3637.78,Servicios Alfa 79,cliente7978@correo.sv,Santa Ana,PG8146,Pago móvil,3299.53
V9054,CL242,2024-03-14,4004.35,Comercial Díaz 142,cliente14273@gmail.com,San Miguel,PG8035,Pago móvil,4444.25
V9056,CL165,2024-11-04,2784.32,Almacenes Prado 65,cliente6570@empresa.com,San Miguel,PG8194,Pago móvil,1224.82
V9058,CL229,2024-07-24,3087.61,Importadora del Valle 129,cliente12956@gmail.com,Santa Ana,PG8093,Tarjeta,4320.47
V9066,CL113,2025-02-15,3733.75,Grupo Ideal 13,cliente1320@correo.sv,Santa Ana,PG8184,Tarjeta,1801.91
V9068,CL209,2024-09-22,4791.21,Tienda Central 109,cliente10939@outlook.com,San Salvador,PG8096,Cheque,1443.2
V9068,CL209,2024-09-22,4791.21,Tienda Central 109,cliente10939@outlook.com,San Salvador,PG8157,Cheque,572.77
V9071,CL224,2024-11-06,761.46,Grupo Ideal 124,cliente12483@gmail.com,La Libertad,PG8034,Efectivo,1583.55
V9071,CL224,2024-11-06,761.46,Grupo Ideal 124,cliente12483@gmail.com,La Libertad,PG8221,Cheque,527.42
V9073,CL233,2024-03-12,4385.72,Comercial Díaz 133,cliente13391@outlook.com,La Libertad,PG8026,Efectivo,816.92
