id_venta,id_cliente,fecha,total,cliente,correo,ciudad,id_pago,metodo,monto_pagado
V9000,CL154,2024-10-25,4641.86,Importadora del Valle 54,cliente547@empresa.com,San Salvador,PG8179,Tarjeta,
V9001,CL243,2024-06-29,1138.59,Tienda Central 143,cliente1434@gmail.com,San Salvador,,,
V9003,CL244,2024-01-26,,Distribuciones Luna 144,cliente1446@empresa.com,San Miguel,PG8069,Pago móvil,2855.5
V9003,CL244,2024-01-26,,Distribuciones Luna 144,cliente1446@empresa.com,San Miguel,PG8089,Tarjeta,761.0
V9003,CL244,2024-01-26,,Distribuciones Luna 144,cliente1446@empresa.com,San Miguel,PG8185,Transferencia,3246.13
V9004,CL243,2024-05-24,2208.24,Tienda Central 143,cliente1434@gmail.com,San Salvador,,,
V9009,CL129,2024-12-10,1003.4,Almacenes Prado 29,cliente2950@correo.sv,San Salvador,,,
V9012,CL214,,1443.82,Grupo Ideal 114,cliente11464@gmail.com,San Miguel,PG8087,Efectivo,4387.91
V9013,CL203,,4083.42,Distribuciones Luna 103,,Santa Ana,PG8232,Cheque,464.66
V9016,CL203,2024-08-08,4596.25,Distribuciones Luna 103,,Santa Ana,PG8156,Efectivo,1757.13
V9017,CL207,2024-03-09,1276.16,Tienda Central 107 ,cliente10791@gmail.com,San Miguel,,,
V9019,CL220,2025-01-07,2313.49,Almacenes Prado 120,cliente12068@correo.sv,Santa Ana,,,
V9021,CL248,2025-01-26,3647.88,Empresa Nova 148,cliente14864@empresa.com,Santa Ana,,,
V9023,CL249,2024-07-06,3287.69,Soluciones CR 149,cliente14983@empresa.com,San Salvador,,,
V9025,CL115,,2734.23,Almacenes Prado 15,correo_invalido,San Salvador,PG8002,Tarjeta,789.21
V9026,CL137,2024-01-27,4923.66,Importadora del Valle 37,cliente3718@gmail.com,Santa Ana,PG8095,Transferencia,
V9028,CL135,2024-10-14,,Soluciones CR 35,cliente3594@gmail.com,San Miguel,,,
V9030,CL165,2024-07-04,676.01,Almacenes Prado 65,cliente6570@empresa.com,San Miguel,,,
V9035,CL166,,4206.7,Comercial Díaz 66,cliente6642@gmail.com,Santa Ana,,,
V9036,CL154,2024-08-18,3669.35,Importadora del Valle 54,cliente547@empresa.com,San Salvador,,,
V9040,,2025-02-26,1501.79,,,,PG8030,Transferencia,1460.44
V9040,,2025-02-26,1501.79,,,,PG8145,Cheque,3849.24
V9040,,2025-02-26,1501.79,,,,PG8030,Transferencia,1460.44
V9041,CL159,2024-11-15,,Comercial Díaz 59,cliente5924@correo.sv,Santa Ana,PG8011,Efectivo,3036.78
V9041,CL159,2024-11-15,,Comercial Díaz 59,cliente5924@correo.sv,Santa Ana,PG8043,Pago móvil,1715.13
V9042,CL200,2024-12-14,3450.65,Soluciones CR 100,cliente10089@correo.sv,San Salvador,,,
V9044,CL148,2024-03-01,, Grupo Ideal 48 ,cliente4841@empresa.com,San Miguel,,,
V9047,CL134,2024-07-20,2318.56,Mundo Hogar 34,cliente3445@outlook.com,San Salvador,,,
V9048,CL233,2024-07-10,66.47,Comercial Díaz 133,cliente13391@outlook.com,La Libertad,,,
V9049,CL166,2025-02-10,1248.46,Comercial Díaz 66,cliente6642@gmail.com,Santa Ana,,,
V9051,CL106,2024-10-12,4959.21,Grupo Ideal 6,cliente619@outlook.com,San Salvador,,,
V9052,CL113,2024-07-06,513.91,Grupo Ideal 13,cliente1320@correo.sv,Santa Ana,,,
V9053,CL172,2025-01-21,2019.44,Mundo Hogar 72,cliente7245@correo.sv,San Miguel,,,
V9055,CL248,2024-04-11,1036.1,Empresa Nova 148,cliente14864@empresa.com,Santa Ana,,,
V9057,CL190,,3670.7,Servicios Alfa 90,cliente9068@empresa.com,La Libertad,PG8000,Transferencia,4452.68
V9057,CL190,,3670.7,Servicios Alfa 90,cliente9068@empresa.com,La Libertad,PG8149,Tarjeta,3075.75
V9059,CL119,,956.36,Comercial Díaz 19,cliente199@gmail.com,San Miguel,PG8044,Pago móvil,2716.21
V9059,CL119,,956.36,Comercial Díaz 19,cliente199@gmail.com,San Miguel,PG8117,Pago móvil,4419.65
V9060,CL109,2024-01-21,1789.82,Distribuciones Luna 9,cliente998@correo.sv,La Libertad,,,
V9061,CL124,,3923.28,Empresa Nova 24,cliente241@empresa.com,San Salvador,,,
V9062,CL124,,2780.05,Empresa Nova 24,cliente241@empresa.com,San Salvador,PG8082,Cheque,670.65
